GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Vehicle Pursuit reported in Industrial,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.52635485,-122.33386715,,,,50 ft,YES,YES,"37.52635485, -122.33386715",Industrial,10-22,INC400,High
Flooding Reported reported in Suburban,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.52298304,-122.33064292,,,,50 ft,YES,YES,"37.52298304, -122.33064292",Suburban,10-40,INC401,Critical
Gunshots Heard reported in Downtown,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.52002205,-122.33463707,,,,50 ft,YES,YES,"37.52002205, -122.33463707",Downtown,10-13,INC402,High
Animal Attack reported in Central,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.52434874,-122.32132098,,,,50 ft,YES,YES,"37.52434874, -122.32132098",Central,10-20,INC403,Critical
Collapsed Building reported in Downtown,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.53040497,-122.32386453,,,,50 ft,YES,YES,"37.53040497, -122.32386453",Downtown,10-48,INC404,Critical
Flooding Reported reported in Industrial,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.52085517,-122.3246539,,,,50 ft,YES,YES,"37.52085517, -122.3246539",Industrial,10-40,INC405,High
Radiation Alert reported in Seaside,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.52520344,-122.32959833,,,,50 ft,YES,YES,"37.52520344, -122.32959833",Seaside,10-36,INC406,Low
Gunshots Heard reported in Rural,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.52089047,-122.32986534,,,,50 ft,YES,YES,"37.52089047, -122.32986534",Rural,10-13,INC407,High
Wildfire Spotted reported in Uptown,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53877397,-122.32262025,,,,50 ft,YES,YES,"37.53877397, -122.32262025",Uptown,10-46,INC408,Low
Severe Weather Alert reported in Downtown,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.5349115,-122.33544093,,,,50 ft,YES,YES,"37.5349115, -122.33544093",Downtown,10-43,INC409,Medium
Vehicle Pursuit reported in Downtown,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.53118268,-122.32991462,,,,50 ft,YES,YES,"37.53118268, -122.32991462",Downtown,10-22,INC410,Low
Drowning Incident reported in Rural,INCIDENT,10-47 - Drowning Incident,Reported drowning incident at location. Additional details unknown.,37.52560035,-122.32432412,,,,50 ft,YES,YES,"37.52560035, -122.32432412",Rural,10-47,INC411,Medium
Illegal Dumping reported in Suburban,INCIDENT,10-24 - Illegal Dumping,Reported illegal dumping at location. Additional details unknown.,37.52563202,-122.33549104,,,,50 ft,YES,YES,"37.52563202, -122.33549104",Suburban,10-24,INC412,Medium
Radiation Alert reported in Industrial,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.52896426,-122.32733032,,,,50 ft,YES,YES,"37.52896426, -122.32733032",Industrial,10-36,INC413,Critical
Drowning Incident reported in Suburban,INCIDENT,10-47 - Drowning Incident,Reported drowning incident at location. Additional details unknown.,37.5245201,-122.33463023,,,,50 ft,YES,YES,"37.5245201, -122.33463023",Suburban,10-47,INC414,Low
Riot or Large Protest reported in Seaside,INCIDENT,10-33 - Riot or Large Protest,Reported riot or large protest at location. Additional details unknown.,37.53228479,-122.32942273,,,,50 ft,YES,YES,"37.53228479, -122.32942273",Seaside,10-33,INC415,Critical
Avalanche Risk reported in Industrial,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.52365411,-122.32749357,,,,50 ft,YES,YES,"37.52365411, -122.32749357",Industrial,10-41,INC416,Low
Unattended Luggage reported in Suburban,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.52473137,-122.33086201,,,,50 ft,YES,YES,"37.52473137, -122.33086201",Suburban,10-26,INC417,Medium
Vehicle Pursuit reported in Downtown,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.52979112,-122.32912679,,,,50 ft,YES,YES,"37.52979112, -122.32912679",Downtown,10-22,INC418,Low
Collapsed Building reported in Seaside,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.52097241,-122.33993888,,,,50 ft,YES,YES,"37.52097241, -122.33993888",Seaside,10-48,INC419,Medium
Road Hazard reported in Rural,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.53393381,-122.32789208,,,,50 ft,YES,YES,"37.53393381, -122.32789208",Rural,10-21,INC420,High
Unattended Luggage reported in Seaside,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.53774794,-122.33791453,,,,50 ft,YES,YES,"37.53774794, -122.33791453",Seaside,10-26,INC421,Critical
Animal Attack reported in Suburban,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.53807983,-122.3212048,,,,50 ft,YES,YES,"37.53807983, -122.3212048",Suburban,10-20,INC422,Medium
Hit-and-Run Accident reported in Industrial,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.53375351,-122.32610443,,,,50 ft,YES,YES,"37.53375351, -122.32610443",Industrial,10-23,INC423,High
Vehicle Breakdown reported in Central,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.52195094,-122.33754857,,,,50 ft,YES,YES,"37.52195094, -122.33754857",Central,10-50,INC424,High
Burglary in Progress reported in Uptown,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.53671761,-122.33255729,,,,50 ft,YES,YES,"37.53671761, -122.33255729",Uptown,10-02,INC425,Critical
Animal Attack reported in Seaside,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.53163268,-122.33651895,,,,50 ft,YES,YES,"37.53163268, -122.33651895",Seaside,10-20,INC426,High
Illegal Dumping reported in Central,INCIDENT,10-24 - Illegal Dumping,Reported illegal dumping at location. Additional details unknown.,37.53487522,-122.33843569,,,,50 ft,YES,YES,"37.53487522, -122.33843569",Central,10-24,INC427,High
Attempted Suicide reported in Rural,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.52679128,-122.33518422,,,,50 ft,YES,YES,"37.52679128, -122.33518422",Rural,10-31,INC428,Low
Public Disturbance reported in Uptown,INCIDENT,10-18 - Public Disturbance,Reported public disturbance at location. Additional details unknown.,37.53191982,-122.32845049,,,,50 ft,YES,YES,"37.53191982, -122.32845049",Uptown,10-18,INC429,Low
Gunshots Heard reported in Central,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.53045042,-122.33583954,,,,50 ft,YES,YES,"37.53045042, -122.33583954",Central,10-13,INC430,Medium
Road Hazard reported in Suburban,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.52477179,-122.33756943,,,,50 ft,YES,YES,"37.52477179, -122.33756943",Suburban,10-21,INC431,Critical
Hostage Situation reported in Seaside,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.52057471,-122.33358163,,,,50 ft,YES,YES,"37.52057471, -122.33358163",Seaside,10-05,INC432,High
Suspicious Package reported in Seaside,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.5268379,-122.32269888,,,,50 ft,YES,YES,"37.5268379, -122.32269888",Seaside,10-12,INC433,Medium
