TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,AREA,DRONE_ID,DRONE_MODEL,DRONE_MANUFACTURER,PROTOCOL,DRONE_ALTITUDE,DRONE_YAW,DRONE_SPEED,INITIAL_DETECTION_LATITUDE,INITIAL_DETECTION_LONGITUDE,PILOT_LATITUDE,PILOT_LONGITUDE
UAS_DETECTION,Autel EVO Max 4T detected,Unauthorized Autel EVO Max 4T detected via Remote ID over the warehouse district.,37.53118008,-122.32844261,,,,Downtown,CUAS-AUT-369932,EVO Max 4T,Autel,Remote ID,120.1,141.2,1.0,37.52971367,-122.33701673,37.52402429,-122.33269409
UAS_DETECTION,Skydio X10 detected,Unauthorized Skydio X10 detected via Remote ID above the rail yard.,37.51920099,-122.32305435,,,,Seaside,CUAS-SKY-430907,X10,Skydio,Remote ID,131.4,82.8,13.1,37.51666447,-122.3148146,37.51079974,-122.32531934
UAS_DETECTION,Autel EVO Max 4T detected,Unauthorized Autel EVO Max 4T detected via Remote ID transiting the power corridor.,37.53127139,-122.32423824,,,,Industrial,CUAS-AUT-350210,EVO Max 4T,Autel,Remote ID,176.7,262.4,23.4,37.52453038,-122.33147519,37.53268173,-122.32408874
UAS_DETECTION,Autel EVO II detected,Unauthorized Autel EVO II detected via Remote ID loitering above the campus green.,37.53939431,-122.32239624,,,,Downtown,CUAS-AUT-329170,EVO II,Autel,Remote ID,111.6,39.6,10.4,37.53674919,-122.31569392,37.54621901,-122.31681692
UAS_DETECTION,Holy Stone HS720 detected,Unauthorized Holy Stone HS720 detected via Wi-Fi transiting the power corridor.,37.53071906,-122.34011758,,,,Central,CUAS-HOL-427372,HS720,Holy Stone,Wi-Fi,130.4,142.3,23.6,37.53106824,-122.34514071,37.5237699,-122.33397179
UAS_DETECTION,Parrot Anafi USA detected,Unauthorized Parrot Anafi USA detected via Wi-Fi circling the parking structure.,37.54017156,-122.31932194,,,,Suburban,CUAS-PAR-685150,Anafi USA,Parrot,Wi-Fi,45.6,5.5,4.3,37.54246038,-122.31461548,37.53251445,-122.31911971
UAS_DETECTION,Unidentified drone detected,Unidentified drone detected via Remote ID on approach to the stadium. Make and model unknown.,37.53621139,-122.33141652,,,,Industrial,CUAS-UNK-896056,Unknown,Unknown,Remote ID,21.8,95.4,16.1,37.53651679,-122.32828254,37.53570397,-122.32766917
UAS_DETECTION,Autel EVO Max 4T detected,Unauthorized Autel EVO Max 4T detected via Remote ID near restricted airspace.,37.53169226,-122.33634998,,,,Rural,CUAS-AUT-552604,EVO Max 4T,Autel,Remote ID,218.7,344.8,17.3,37.52587245,-122.32877261,37.52499403,-122.3428901
UAS_DETECTION,Unidentified drone detected,Unidentified drone detected via Remote ID above the rail yard. Make and model unknown.,37.52763193,-122.33512897,,,,Central,CUAS-UNK-100473,Unknown,Unknown,Remote ID,148.8,149.0,9.2,37.52338839,-122.34160108,37.53193654,-122.32908868
UAS_DETECTION,DJI Matrice 350 RTK detected,Unauthorized DJI Matrice 350 RTK detected via DJI OcuSync on approach to the stadium.,37.53062205,-122.32860068,,,,Rural,CUAS-DJI-110472,Matrice 350 RTK,DJI,DJI OcuSync,157.5,63.0,3.8,37.53140405,-122.32616123,37.52246239,-122.32640381
