GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Storm Damage reported in Suburban,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52594953,-122.3224279,141,UTIL600,,,50 ft,YES,YES,"37.52594953, -122.3224279",Suburban,UTIL,UTIL600,Low
Voltage Irregularity reported in Seaside,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53931879,-122.3316493,79,UTIL601,,,50 ft,YES,YES,"37.53931879, -122.3316493",Seaside,UTIL,UTIL601,Critical
Gas Leak reported in Rural,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53870935,-122.32772035,86,UTIL602,,,50 ft,YES,YES,"37.53870935, -122.32772035",Rural,UTIL,UTIL602,High
Substation Fire reported in Industrial,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52436248,-122.33239354,67,UTIL603,,,50 ft,YES,YES,"37.52436248, -122.33239354",Industrial,UTIL,UTIL603,High
Downed Power Line reported in Suburban,INCIDENT,Downed Power Line,Live wire reported on the ground,37.5224489,-122.3304057,72,UTIL604,,,50 ft,YES,YES,"37.5224489, -122.3304057",Suburban,UTIL,UTIL604,Low
Equipment Failure reported in Central,INCIDENT,Equipment Failure,Component failure at distribution station,37.53915331,-122.33713493,1,UTIL605,,,50 ft,YES,YES,"37.53915331, -122.33713493",Central,UTIL,UTIL605,Critical
Switch Malfunction reported in Industrial,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52711327,-122.32078233,163,UTIL606,,,50 ft,YES,YES,"37.52711327, -122.32078233",Industrial,UTIL,UTIL606,Low
Leaning Pole reported in Uptown,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53793148,-122.33696495,47,UTIL607,,,50 ft,YES,YES,"37.53793148, -122.33696495",Uptown,UTIL,UTIL607,Critical
Cable Fault reported in Rural,INCIDENT,Cable Fault,Underground cable suspected fault,37.53105246,-122.32541462,60,UTIL608,,,50 ft,YES,YES,"37.53105246, -122.32541462",Rural,UTIL,UTIL608,Medium
Fuse Blown reported in Rural,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52772624,-122.33576899,167,UTIL609,,,50 ft,YES,YES,"37.52772624, -122.33576899",Rural,UTIL,UTIL609,Critical
Equipment Failure reported in Central,INCIDENT,Equipment Failure,Component failure at distribution station,37.53148052,-122.32719397,80,UTIL610,,,50 ft,YES,YES,"37.53148052, -122.32719397",Central,UTIL,UTIL610,High
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52017003,-122.33812849,94,UTIL611,,,50 ft,YES,YES,"37.52017003, -122.33812849",Industrial,UTIL,UTIL611,Medium
Meter Inspection reported in Rural,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53007077,-122.33427457,14,UTIL612,,,50 ft,YES,YES,"37.53007077, -122.33427457",Rural,UTIL,UTIL612,Medium
Low Wire reported in Rural,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52968033,-122.32296214,73,UTIL613,,,50 ft,YES,YES,"37.52968033, -122.32296214",Rural,UTIL,UTIL613,Medium
Tree Encroachment reported in Rural,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53254655,-122.33549041,113,UTIL614,,,50 ft,YES,YES,"37.53254655, -122.33549041",Rural,UTIL,UTIL614,Critical
Substation Fire reported in Seaside,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52585708,-122.32697067,137,UTIL615,,,50 ft,YES,YES,"37.52585708, -122.32697067",Seaside,UTIL,UTIL615,Low
Downed Power Line reported in Rural,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52095242,-122.33233276,180,UTIL616,,,50 ft,YES,YES,"37.52095242, -122.33233276",Rural,UTIL,UTIL616,High
Cable Fault reported in Downtown,INCIDENT,Cable Fault,Underground cable suspected fault,37.53177224,-122.33729911,20,UTIL617,,,50 ft,YES,YES,"37.53177224, -122.33729911",Downtown,UTIL,UTIL617,Medium
Leaning Pole reported in Suburban,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52358173,-122.32244991,120,UTIL618,,,50 ft,YES,YES,"37.52358173, -122.32244991",Suburban,UTIL,UTIL618,Medium
Fuse Blown reported in Industrial,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53962125,-122.32262966,154,UTIL619,,,50 ft,YES,YES,"37.53962125, -122.32262966",Industrial,UTIL,UTIL619,High
Transformer Failure reported in Rural,INCIDENT,Transformer Failure,Multiple customers without power,37.53131727,-122.32933783,151,UTIL620,,,50 ft,YES,YES,"37.53131727, -122.32933783",Rural,UTIL,UTIL620,Critical
Gas Leak reported in Downtown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53380881,-122.33773892,69,UTIL621,,,50 ft,YES,YES,"37.53380881, -122.33773892",Downtown,UTIL,UTIL621,High
Breaker Operation reported in Industrial,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53781698,-122.33373855,89,UTIL622,,,50 ft,YES,YES,"37.53781698, -122.33373855",Industrial,UTIL,UTIL622,Low
Storm Damage reported in Seaside,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.5210037,-122.32371667,3,UTIL623,,,50 ft,YES,YES,"37.5210037, -122.32371667",Seaside,UTIL,UTIL623,High
Cable Fault reported in Seaside,INCIDENT,Cable Fault,Underground cable suspected fault,37.53909001,-122.33341697,18,UTIL624,,,50 ft,YES,YES,"37.53909001, -122.33341697",Seaside,UTIL,UTIL624,Medium
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52425911,-122.33945448,142,UTIL625,,,50 ft,YES,YES,"37.52425911, -122.33945448",Industrial,UTIL,UTIL625,Critical
Low Wire reported in Rural,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52937886,-122.33758265,109,UTIL626,,,50 ft,YES,YES,"37.52937886, -122.33758265",Rural,UTIL,UTIL626,Critical
Meter Inspection reported in Suburban,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.52856733,-122.32643749,67,UTIL627,,,50 ft,YES,YES,"37.52856733, -122.32643749",Suburban,UTIL,UTIL627,High
Substation Fire reported in Industrial,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53350075,-122.32830797,78,UTIL628,,,50 ft,YES,YES,"37.53350075, -122.32830797",Industrial,UTIL,UTIL628,Critical
Substation Fire reported in Suburban,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53301931,-122.33782051,131,UTIL629,,,50 ft,YES,YES,"37.53301931, -122.33782051",Suburban,UTIL,UTIL629,High
Gas Leak reported in Central,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52661876,-122.33741051,127,UTIL630,,,50 ft,YES,YES,"37.52661876, -122.33741051",Central,UTIL,UTIL630,High
Car Hit Pole reported in Industrial,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.5283977,-122.33680933,19,UTIL631,,,50 ft,YES,YES,"37.5283977, -122.33680933",Industrial,UTIL,UTIL631,Critical
Routine Inspection reported in Downtown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53209006,-122.3280673,88,UTIL632,,,50 ft,YES,YES,"37.53209006, -122.3280673",Downtown,UTIL,UTIL632,Low
Voltage Irregularity reported in Central,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53386452,-122.33301434,54,UTIL633,,,50 ft,YES,YES,"37.53386452, -122.33301434",Central,UTIL,UTIL633,Low
Equipment Failure reported in Rural,INCIDENT,Equipment Failure,Component failure at distribution station,37.52542786,-122.32723011,115,UTIL634,,,50 ft,YES,YES,"37.52542786, -122.32723011",Rural,UTIL,UTIL634,High
Downed Power Line reported in Rural,INCIDENT,Downed Power Line,Live wire reported on the ground,37.5307131,-122.32726694,5,UTIL635,,,50 ft,YES,YES,"37.5307131, -122.32726694",Rural,UTIL,UTIL635,High
Meter Inspection reported in Seaside,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.5230803,-122.33031344,194,UTIL636,,,50 ft,YES,YES,"37.5230803, -122.33031344",Seaside,UTIL,UTIL636,Low
Fuse Blown reported in Rural,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53216925,-122.33449824,112,UTIL637,,,50 ft,YES,YES,"37.53216925, -122.33449824",Rural,UTIL,UTIL637,Critical
Transformer Failure reported in Industrial,INCIDENT,Transformer Failure,Multiple customers without power,37.52472232,-122.33296349,96,UTIL638,,,50 ft,YES,YES,"37.52472232, -122.33296349",Industrial,UTIL,UTIL638,Critical
Substation Fire reported in Central,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52715182,-122.32388613,32,UTIL639,,,50 ft,YES,YES,"37.52715182, -122.32388613",Central,UTIL,UTIL639,Medium
Tree Encroachment reported in Suburban,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52984039,-122.33928475,115,UTIL640,,,50 ft,YES,YES,"37.52984039, -122.33928475",Suburban,UTIL,UTIL640,Low
Cable Fault reported in Suburban,INCIDENT,Cable Fault,Underground cable suspected fault,37.52687033,-122.33324948,112,UTIL641,,,50 ft,YES,YES,"37.52687033, -122.33324948",Suburban,UTIL,UTIL641,High
Downed Power Line reported in Rural,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53066186,-122.32101743,121,UTIL642,,,50 ft,YES,YES,"37.53066186, -122.32101743",Rural,UTIL,UTIL642,High
Tree Encroachment reported in Seaside,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53795565,-122.33974497,173,UTIL643,,,50 ft,YES,YES,"37.53795565, -122.33974497",Seaside,UTIL,UTIL643,High
Fuse Blown reported in Seaside,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52408584,-122.33808343,20,UTIL644,,,50 ft,YES,YES,"37.52408584, -122.33808343",Seaside,UTIL,UTIL644,Critical
Voltage Irregularity reported in Suburban,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52940532,-122.32753745,126,UTIL645,,,50 ft,YES,YES,"37.52940532, -122.32753745",Suburban,UTIL,UTIL645,Critical
Transformer Explosion reported in Uptown,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52695798,-122.3371611,156,UTIL646,,,50 ft,YES,YES,"37.52695798, -122.3371611",Uptown,UTIL,UTIL646,Critical
Voltage Irregularity reported in Uptown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52198914,-122.33270012,70,UTIL647,,,50 ft,YES,YES,"37.52198914, -122.33270012",Uptown,UTIL,UTIL647,Medium
Switch Malfunction reported in Industrial,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53999462,-122.32469624,55,UTIL648,,,50 ft,YES,YES,"37.53999462, -122.32469624",Industrial,UTIL,UTIL648,Medium
Breaker Operation reported in Industrial,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53749053,-122.33480279,106,UTIL649,,,50 ft,YES,YES,"37.53749053, -122.33480279",Industrial,UTIL,UTIL649,High
Tree Encroachment reported in Downtown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53457877,-122.33475209,141,UTIL650,,,50 ft,YES,YES,"37.53457877, -122.33475209",Downtown,UTIL,UTIL650,Medium
Routine Inspection reported in Downtown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53038004,-122.33435309,34,UTIL651,,,50 ft,YES,YES,"37.53038004, -122.33435309",Downtown,UTIL,UTIL651,Medium
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53270607,-122.33661794,86,UTIL652,,,50 ft,YES,YES,"37.53270607, -122.33661794",Industrial,UTIL,UTIL652,Low
Downed Power Line reported in Suburban,INCIDENT,Downed Power Line,Live wire reported on the ground,37.5212772,-122.32093677,81,UTIL653,,,50 ft,YES,YES,"37.5212772, -122.32093677",Suburban,UTIL,UTIL653,Critical
Transformer Failure reported in Downtown,INCIDENT,Transformer Failure,Multiple customers without power,37.53434739,-122.32649982,136,UTIL654,,,50 ft,YES,YES,"37.53434739, -122.32649982",Downtown,UTIL,UTIL654,Critical
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.5347194,-122.3299949,66,UTIL655,,,50 ft,YES,YES,"37.5347194, -122.3299949",Industrial,UTIL,UTIL655,Critical
Voltage Irregularity reported in Suburban,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52315817,-122.33865249,80,UTIL656,,,50 ft,YES,YES,"37.52315817, -122.33865249",Suburban,UTIL,UTIL656,Critical
Downed Power Line reported in Suburban,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52834725,-122.3258606,15,UTIL657,,,50 ft,YES,YES,"37.52834725, -122.3258606",Suburban,UTIL,UTIL657,High
Leaning Pole reported in Central,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53141343,-122.32028534,199,UTIL658,,,50 ft,YES,YES,"37.53141343, -122.32028534",Central,UTIL,UTIL658,High
Breaker Operation reported in Rural,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52988522,-122.33041321,125,UTIL659,,,50 ft,YES,YES,"37.52988522, -122.33041321",Rural,UTIL,UTIL659,Low
